SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL,AREA_KM2,CURRENT_DENSITY,NORMAL_DENSITY,DENSITY_SCORE
11620,관악구,382768.04,393952.25039761566,-2.8,47.2,35.1,보통,29.56322016269854,12947.440701434763,13325.755727202066,82.03156800569069
11650,서초구,765579.08,799269.9333625524,-4.2,45.8,70.8,보통,46.8853311605049,16328.754880266386,17047.334711711253,84.85802918254846
11680,강남구,1067396.73,1100615.0821970548,-3.0,47.0,99.0,보통,39.45777777461134,27051.617962297016,27893.488794121426,91.0075980515193
11710,송파구,727300.11,741807.7179989482,-2.0,48.0,67.3,보통,33.826824397377095,21500.69132875489,21929.57013299976,88.2099034589928
11740,강동구,391841.09,391689.2594218093,0.0,50.0,35.9,보통,24.53786764192307,15968.832162520004,15962.644559733715,84.58651658495002
26110,중구,174281.91,151831.04809396915,14.8,64.8,15.6,혼잡,3.0794645301676526,56594.8749507148,49304.36658924697,100.0
26140,서구,117613.94,109497.59166199158,7.4,57.4,10.3,보통,14.161564884297087,8305.15136998843,7732.026266631516,76.62287721749783
26170,동구,172634.42,151470.22443934082,14.0,64.0,15.4,혼잡,10.12453877142432,17051.08982220963,14960.703678359465,85.385326796626
26200,영도구,122981.46,114926.8911441094,7.0,57.0,10.8,보통,14.629440868799742,8406.436110780076,7855.863540842109,76.77052923205986
26230,부산진구,444410.48,406279.99926998594,9.4,59.4,40.8,보통,29.7445950216261,14940.881853556486,13658.952121371834,83.77598691234634
26260,동래구,271141.33,245710.207875526,10.4,60.4,24.6,혼잡,16.657066135554363,16277.856363987848,14751.10958172038,84.81999860766646
26290,남구,229141.5,219767.25107047684,4.3,54.3,20.7,보통,27.23556316825456,8413.319694710206,8069.128209789869,76.78049941277875
26320,북구,234599.29,218486.7764596774,7.4,57.4,21.2,보통,39.71292210146402,5907.379200165971,5501.654496777081,72.47327931131278
26350,해운대구,467102.93,434651.9266374474,7.5,57.5,42.9,보통,52.26311447834078,8937.525722727065,8316.609734721773,77.51674582294673
26380,사하구,223557.23,210204.3918415148,6.4,56.4,20.2,보통,47.455950775674566,4710.836604175533,4429.463289760141,69.71649787961556
26410,금정구,204044.64,196055.8954028752,4.1,54.1,18.4,보통,65.64731869628963,3108.1945775118543,2986.5027132320065,64.65213950626298
26440,강서구,208416.57,209044.0321686536,-0.3,49.7,18.8,보통,185.6592834211718,1122.5755381550346,1125.9551815377474,52.25240149738036
26470,연제구,173331.06,157398.78816409537,10.1,60.1,15.5,혼잡,12.134926500101022,14283.651408894568,12970.724475569345,83.22799606020027
26500,수영구,221652.16,203385.567402174,9.0,59.0,20.0,보통,10.335363052684194,21445.996514117112,19678.60890473052,88.1788752857231
26530,사상구,174031.73,165640.43439095368,5.1,55.1,15.6,보통,36.199354361377424,4807.592098539791,4575.784218065564,69.96412248833575
26710,기장군,228086.93,215654.49526858344,5.8,55.8,20.6,보통,219.6462144371428,1038.4286867155306,981.8265970174432,51.304071571423634
27110,중구,294629.34,259747.41306346425,13.4,63.4,26.8,혼잡,7.041103872356555,41844.19735046344,36890.15497743688,96.32144035706803
27140,동구,384981.26,358992.27879453014,7.2,57.2,35.3,보통,181.5568300801813,2120.444930824029,1977.2997723962667,59.99525228472214
27170,서구,130560.83,120025.74333485274,8.8,58.8,11.5,보통,17.40385390841466,7501.834403291251,6896.503726500543,75.38374725249074
27200,남구,148171.23,135975.39774158486,9.0,59.0,13.2,보통,17.79898941568598,8324.699034284438,7639.501016937052,76.65151334056789
27230,북구,398807.49,384861.0406753156,3.6,53.6,36.6,보통,93.67417063820706,4257.390135219811,4108.507585957122,68.48381134345036
27260,수성구,398664.29,370945.66518408136,7.5,57.5,36.6,보통,76.78771262425923,5191.771917347771,4830.794569949073,70.90049525464683
27290,달서구,471824.6,445855.3247759467,5.8,55.8,43.4,보통,62.516856560642886,7547.158093950526,7131.761724831064,75.45711769840983
27710,달성군,196418.95,193262.02135834505,1.6,51.6,17.7,보통,422.8041474176592,464.5624958971162,457.09585049891854,41.51948018499343
27720,군위군,29157.55,31161.53993828892,-6.4,43.6,2.0,보통,613.0735403780014,47.559628787799895,50.82838825351313,13.981925939417877
28110,중구,434176.14,449668.4314782608,-3.4,46.6,39.9,보통,148.4793806971205,2924.1510704147227,3028.4907531741974,63.908804215930246
28140,동구,43801.54,46875.37888744741,-6.6,43.4,3.4,보통,7.141879888008838,6133.054698041401,6563.4510272499565,72.92992641128284
28177,미추홀구,312986.97,311469.68249438994,0.5,50.5,28.6,보통,24.937973735759524,12550.617516738976,12489.77506331084,81.65238344548978
28185,연수구,341228.62,359680.87490147265,-5.1,44.9,31.2,보통,63.14786303844864,5403.644772464228,5695.85188785367,71.38767912461468
28200,남동구,361514.57,365206.31218863954,-1.0,49.0,33.1,보통,57.56496494061964,6280.114482357723,6344.246236671266,73.2185430163458
28237,부평구,354222.21,353448.51503681624,0.2,50.2,32.4,보통,32.092530367479846,11037.528233016556,11013.419976225196,80.0874701460209
28245,계양구,196550.53,204259.0483537868,-3.8,46.2,17.7,보통,45.50238201315285,4319.565730497041,4488.974847399066,68.66039594944607
28260,서구,478203.82,489751.5380357644,-2.4,47.6,44.0,보통,132.57938976470993,3606.924280226915,3694.024681399815,66.46448869343475
28710,강화군,79811.41,92078.94219810658,-13.3,36.7,6.8,여유,413.13990509256615,193.1825248933962,222.87593394657875,30.866684430748638
